time,415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
7386719,187,169,186,230,325,1318,4498,4184,4500,569,56,99,0.30,99
7478516,188,169,187,231,327,1323,4497,4159,4500,566,56,99,0.30,99
7567383,187,169,187,231,328,1323,4498,4142,4500,569,56,99,0.30,99
7656250,189,169,188,233,330,1331,4499,4159,4500,574,56,99,0.30,99
7744141,187,169,187,233,328,1322,4492,4143,4500,577,56,99,0.30,99
7832031,186,168,185,230,326,1312,4492,4164,4500,588,56,99,0.30,99
7919922,186,169,187,231,324,1307,4493,4134,4500,566,56,99,0.30,99
8008789,187,169,186,230,323,1305,4488,4125,4500,567,56,99,0.30,99
8096680,186,168,185,228,322,1305,4477,4127,4500,564,56,99,0.30,99
8188477,187,168,185,230,323,1311,4486,4138,4500,565,56,99,0.30,99
8277344,186,168,185,229,325,1316,4497,4144,4500,567,56,99,0.30,99
8366211,186,168,186,230,325,1318,4490,4134,4500,567,56,99,0.30,99
8454102,188,169,187,231,328,1325,4500,4150,4500,569,56,99,0.30,99
8542969,187,168,186,232,330,1329,4498,4158,4500,593,56,99,0.30,99
8625977,188,170,188,234,331,1334,4500,4159,4500,574,56,99,0.30,99
8713867,187,169,188,234,332,1341,4500,4157,4500,597,56,99,0.30,99
8805664,189,170,188,234,332,1332,4499,4143,4500,571,56,99,0.30,99
8805664
