415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
2,2,3,3,4,12,76,97,107,34,0,0,0.00,0
3,3,3,3,5,13,91,128,129,37,0,0,0.00,0
3,4,3,4,6,12,91,128,122,22,0,0,0.00,0
3,4,3,3,3,12,76,97,100,23,0,0,0.00,0
2,3,3,2,3,11,74,95,97,18,0,0,0.00,0
2,3,3,2,3,11,74,95,98,18,0,0,0.00,0
2,3,3,2,5,13,88,123,123,35,0,0,0.00,0
3,3,3,3,4,12,88,125,119,22,0,0,0.00,0
3,4,3,3,3,11,75,96,99,18,0,0,0.00,0
2,3,2,2,5,11,89,127,126,35,0,0,0.00,0
3,3,3,3,3,11,76,97,99,21,0,0,0.00,0
2,3,2,2,4,12,77,98,100,19,0,0,0.00,0
2,3,3,3,5,12,77,98,101,19,0,0,0.00,0
2,2,2,3,4,13,79,102,112,36,0,0,0.00,0
3,3,3,3,4,12,92,130,123,22,0,0,0.00,0
2,3,3,2,4,12,76,97,105,33,0,0,0.00,0
3,3,2,2,5,13,88,125,125,32,0,0,0.00,0
3,3,3,3,3,11,75,96,98,18,0,0,0.00,0
2,3,3,2,4,12,75,96,98,18,0,0,0.00,0
2,3,3,3,3,12,75,96,98,18,0,0,0.00,0
2,3,3,3,4,11,76,97,99,18,0,0,0.00,0
2,3,2,3,5,13,90,127,127,35,0,0,0.00,0
3,4,3,4,5,12,90,127,120,21,0,0,0.00,0
2,3,3,3,5,12,77,98,101,22,0,0,0.00,0
2,3,2,2,6,13,91,129,129,37,0,0,0.00,0
2,3,2,3,4,13,78,99,108,33,0,0,0.00,0
3,3,3,3,5,12,78,99,102,19,0,0,0.00,0
2,2,3,2,3,11,75,96,97,19,0,0,0.00,0
2,3,2,2,5,12,86,120,122,33,0,0,0.00,0
2,2,3,3,3,11,75,96,99,19,0,0,0.00,0
2,3,3,2,3,11,75,96,98,18,0,0,0.00,0
2,3,3,2,5,12,89,126,125,35,0,0,0.00,0
2,3,2,2,3,11,75,97,100,22,0,0,0.00,0
2,2,2,3,5,12,91,127,128,34,0,0,0.00,0
3,3,4,4,3,12,77,98,100,18,0,0,0.00,0
2,3,3,2,5,13,92,129,130,34,58,0,0.00,98
3,3,3,3,5,12,91,130,122,22,58,0,0.00,98
3,3,3,3,3,12,77,99,102,21,58,0,0.00,98
3,2,3,3,5,13,92,130,130,38,58,0,0.00,98
2,3,2,3,4,12,75,96,99,23,58,0,0.00,98
2,3,3,3,5,13,89,125,125,33,58,0,0.00,98
4,4,4,4,4,12,89,125,118,21,58,0,0.00,98
3,3,3,3,3,11,75,96,99,18,58,0,0.00,98
2,3,3,2,3,11,76,97,100,19,58,0,0.00,98
2,3,2,3,5,12,76,98,100,19,58,0,0.00,98
2,3,3,3,3,12,76,98,101,21,58,0,0.30,98
3,3,3,3,4,13,91,128,129,36,58,0,0.30,98
3,3,3,4,3,12,77,98,101,21,58,0,0.30,98
3,3,3,3,4,12,78,98,102,19,58,0,0.30,98
2,2,3,3,3,12,79,99,102,19,58,0,0.30,98
4,2,2,3,4,12,76,98,102,22,58,0,0.30,98
3,3,3,3,3,11,75,96,99,18,58,0,0.30,98
3,4,3,3,5,12,76,96,100,18,58,0,0.30,98
3,3,3,3,3,11,76,96,99,18,58,0,0.30,98
2,3,2,3,4,11,76,97,99,20,58,0,0.30,98
4,3,3,3,4,12,89,125,119,20,58,0,0.30,98
3,2,3,3,3,12,76,97,100,18,58,0,0.30,98
3,3,3,3,4,12,77,98,101,19,58,0,0.30,98
2,3,2,2,4,12,77,98,108,34,58,0,0.30,98
3,3,3,3,5,13,92,129,130,37,58,0,0.30,98
4,4,4,4,5,13,92,129,123,21,58,0,0.30,98
4,4,3,3,4,11,77,99,102,21,58,0,0.30,98
2,3,3,2,4,11,74,96,99,18,58,0,0.30,98
3,3,3,2,3,11,76,96,99,19,58,0,0.30,98
2,3,2,2,3,11,76,96,99,18,58,100,0.30,99
3,3,2,3,3,11,75,96,99,19,58,100,0.30,99
2,3,2,3,3,12,75,97,101,25,58,100,0.30,99
2,2,3,3,5,13,90,127,127,36,58,100,0.30,99
4,4,3,3,3,12,76,98,100,21,58,100,0.30,99
2,3,3,2,5,13,91,128,129,38,58,100,0.30,99
3,4,3,3,4,11,77,99,102,21,58,100,0.30,99
3,4,3,4,4,11,78,99,102,19,58,100,0.30,99
2,3,2,2,5,12,93,130,131,38,58,100,0.30,99
3,4,3,4,4,12,76,97,101,19,58,100,0.30,99
2,2,2,2,3,11,75,96,98,18,58,100,0.30,99
3,3,3,3,5,13,89,125,125,33,59,100,0.30,99
2,2,2,3,3,11,76,96,99,19,59,100,0.30,99
2,3,2,2,5,13,90,126,127,34,59,100,0.30,99
4,4,3,3,4,12,77,97,100,19,59,100,0.30,99
3,3,3,3,4,11,76,97,99,21,59,100,0.30,99
2,3,3,3,3,11,77,98,101,19,59,100,0.30,99
2,3,3,2,4,12,78,98,101,22,59,100,0.30,99
2,3,2,3,4,12,78,99,110,34,59,100,0.30,99
3,3,3,3,5,13,92,129,125,24,59,100,0.30,99
3,4,4,4,4,11,78,99,103,22,59,100,0.30,99
2,3,2,3,3,12,76,97,100,18,59,100,0.30,99
2,3,3,3,3,11,75,97,99,22,59,100,0.30,99
2,3,3,2,4,10,75,97,99,19,59,100,0.30,99
2,3,2,2,4,11,76,97,107,34,59,100,0.30,99
3,4,3,3,4,12,89,126,120,22,59,100,0.30,99
3,2,2,3,3,12,77,98,101,21,59,100,0.30,99
2,3,3,3,4,11,77,98,100,22,59,100,0.30,99
3,4,3,4,4,11,77,98,101,21,59,100,0.30,99
3,3,3,3,4,12,78,98,102,22,59,100,0.30,99
3,3,3,3,4,12,77,99,102,25,59,100,0.30,99
2,3,3,3,3,12,79,100,103,22,59,100,0.30,99
2,3,3,3,5,13,90,127,127,34,59,100,0.30,99
3,4,4,3,3,12,76,97,100,21,59,100,0.30,99
3,3,3,3,3,12,76,97,100,19,59,100,0.30,99
2,3,3,2,3,12,76,97,100,19,59,100,0.30,99
