415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
4,4,4,4,5,14,88,114,119,30,63,0,0.00,49
3,3,3,4,4,14,89,115,121,30,63,0,0.00,49
4,5,5,5,5,15,89,115,121,30,63,0,0.00,49
4,4,4,4,5,15,90,116,121,30,63,0,0.00,49
3,3,3,4,5,15,90,116,123,30,63,0,0.00,49
4,4,4,4,5,15,90,116,122,30,63,0,0.40,49
3,3,3,3,4,14,87,113,118,29,63,0,0.40,49
4,4,4,4,4,13,87,113,118,29,63,0,0.40,49
4,3,2,4,5,13,88,114,119,30,63,0,0.40,49
3,3,3,3,4,14,87,113,118,27,63,0,0.40,49
3,3,3,3,4,14,88,114,119,29,63,0,0.40,49
3,3,3,3,7,16,109,158,162,54,63,0,0.40,49
5,5,5,5,4,14,91,118,123,30,63,0,0.40,49
4,4,4,4,4,14,89,115,121,30,63,0,0.40,49
3,3,3,3,4,14,88,114,120,29,63,0,0.40,49
3,3,3,3,5,15,87,112,128,50,63,0,0.40,49
4,4,4,4,6,15,106,155,145,29,63,0,0.40,49
4,5,3,4,4,14,87,113,118,29,63,0,0.40,49
3,3,3,3,4,14,87,113,118,27,63,0,0.40,49
4,4,4,4,4,14,87,113,118,30,63,0,0.40,49
4,5,4,4,5,15,101,140,137,30,63,0,0.40,49
4,4,3,4,5,14,88,114,119,30,63,0,0.40,49
5,5,5,5,4,14,90,118,122,30,63,0,0.40,49
4,4,4,4,4,14,88,115,120,30,63,0,0.40,49
3,3,3,3,5,14,89,115,121,30,63,0,0.40,49
4,4,4,4,4,14,86,112,116,26,63,0,0.40,49
3,3,3,3,4,14,86,111,116,29,63,0,0.40,49
3,3,3,3,4,14,86,112,117,29,63,0,0.40,49
3,3,3,3,6,15,93,126,138,52,63,0,0.40,49
3,4,4,4,6,15,106,154,145,29,63,0,0.40,49
4,4,4,4,4,14,87,113,118,30,63,0,0.40,49
3,3,3,3,4,14,87,113,118,30,63,0,0.40,49
4,4,4,4,5,14,87,113,119,30,63,0,0.40,49
3,3,3,3,4,14,88,114,119,30,63,0,0.40,50
3,3,3,3,5,14,88,115,120,30,63,0,0.40,50
3,3,3,3,5,15,89,115,134,54,63,0,0.40,50
4,4,4,4,6,14,105,154,145,32,63,0,0.40,50
4,4,4,5,4,13,86,112,117,29,63,0,0.40,50
3,4,3,3,5,14,87,113,118,30,63,0,0.40,50
3,4,4,4,5,15,106,155,146,29,63,0,0.40,50
4,4,4,4,4,14,87,113,118,29,63,0,0.40,50
3,3,3,3,5,13,87,114,119,30,63,0,0.40,50
4,4,4,4,6,14,102,146,140,30,63,0,0.40,50
4,5,4,4,4,14,88,114,120,30,63,0,0.40,51
