415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
3,3,3,3,5,14,87,112,126,45,0,0,0.00,0
3,4,4,3,6,15,107,153,155,49,0,0,0.00,0
4,4,4,4,6,15,107,154,145,29,0,0,0.00,0
4,4,4,3,4,14,88,112,117,26,0,0,0.00,0
3,4,3,3,4,14,88,113,118,26,0,0,0.00,0
3,3,3,3,5,14,89,114,130,49,0,0,0.00,0
3,3,3,3,5,14,89,114,119,27,0,0,0.00,0
3,3,3,3,4,14,89,114,120,28,0,0,0.00,0
3,3,3,3,7,16,110,159,161,54,0,0,0.00,0
3,3,3,3,5,15,90,116,121,29,0,0,0.00,0
3,3,2,3,5,14,86,113,126,49,0,0,0.00,0
3,4,3,4,5,15,106,152,144,29,0,0,0.00,0
3,3,3,3,4,13,87,113,117,26,0,0,0.00,0
3,3,3,4,4,14,87,112,118,26,0,0,0.00,0
3,2,3,3,6,14,88,113,118,26,0,0,0.00,0
3,3,3,3,5,14,88,113,119,29,0,0,0.00,0
3,3,3,3,6,15,89,115,119,27,0,0,0.00,0
3,3,3,3,5,15,89,115,126,40,0,0,0.00,0
3,3,3,4,4,14,90,116,121,27,0,0,0.00,0
3,4,2,3,5,15,90,116,121,29,0,0,0.00,0
3,3,3,4,7,17,112,161,165,54,0,0,0.00,0
3,2,3,3,4,15,88,113,118,29,0,0,0.00,0
3,3,3,3,5,15,87,113,128,46,0,0,0.00,0
4,3,3,4,7,16,108,155,152,39,0,0,0.00,0
5,5,4,5,6,14,87,113,119,32,0,0,0.00,0
3,4,4,4,6,15,108,157,148,32,0,0,0.00,0
5,5,5,5,4,14,89,115,120,29,0,0,0.00,0
4,4,4,4,4,14,89,115,120,30,0,0,0.00,0
3,3,3,3,4,15,89,115,121,29,0,0,0.00,0
5,4,4,4,5,15,90,115,121,30,0,0,0.00,0
3,3,3,3,4,14,89,115,121,29,0,0,0.00,0
3,4,3,4,5,15,90,116,123,29,0,0,0.00,0
3,4,3,4,5,14,90,116,123,30,0,0,0.00,0
3,4,3,3,4,14,88,113,119,29,0,0,0.00,0
3,3,3,3,6,15,89,114,131,50,0,0,0.00,0
3,4,4,3,4,14,89,114,120,30,0,0,0.00,0
3,4,3,3,4,14,88,114,119,29,0,0,0.00,0
3,3,3,3,5,15,89,115,132,52,0,0,0.00,0
4,5,4,5,5,15,89,115,121,33,0,0,0.00,0
4,5,4,4,5,14,88,114,119,30,0,0,0.00,0
3,4,3,3,4,13,88,115,120,32,0,0,0.00,0
4,5,4,4,5,15,89,115,121,30,0,0,0.00,0
3,4,3,3,4,14,90,116,122,30,0,0,0.00,0
3,3,3,3,4,14,88,113,119,29,0,0,0.00,0
3,3,2,3,6,16,97,133,143,49,0,0,0.00,0
4,4,3,4,4,14,93,123,124,29,0,0,0.00,0
3,3,3,4,5,13,87,114,120,30,0,0,0.00,0
4,3,3,3,4,14,88,114,119,29,0,0,0.00,0
3,3,3,3,7,16,109,158,161,54,0,0,0.00,0
5,5,4,5,5,14,88,115,120,30,0,0,0.00,0
4,4,4,4,5,15,89,115,120,28,63,0,0.00,49
4,5,4,4,5,15,89,115,121,30,63,0,0.00,49
3,4,3,3,4,14,89,115,122,30,63,0,0.00,49
3,3,3,3,5,13,86,112,117,29,63,0,0.00,49
3,4,3,3,6,16,104,151,155,50,63,0,0.00,49
3,3,3,4,6,15,108,157,149,32,63,0,0.00,49
